Price,House Type,SQFT,Bedrooms,Bathrooms,Suburb,City,Zip Code,Price_per_SQFT,Country,Condition,Built,Remodeled
"$850,000.00 ",Apartment,773,2,2,Barnsbury,London,0,"$1,099.61 ",England,3,1894,2007
"$780,000.00 ",Apartment,654,2,2,,London,0,"$1,192.66 ",England,4,1958,2005
"$399,950.00 ",New development,697,2,2,Esher,Surrey,0,$573.82 ,England,5,1931,2002
"$1,499,950.00 ",House,2982,5,5,Surbiton,Surrey,0,$503.00 ,England,4,1866,2005
"$900,000.00 ",House,1081,3,3,,London,0,$832.56 ,England,4,1973,2022
"$2,500,000.00 ",House,3986,6,6,,London,0,$627.20 ,England,3,1980,2007
"$575,000.00 ",Apartment,773,2,2,Chiswick,London,0,$743.86 ,England,4,1961,2010
"$1,250,000.00 ",House,1708,5,5,,London,0,$731.85 ,England,4,1878,2018
"$1,575,000.00 ",Apartment,1580,3,3,Prince of Wales Drive,London,0,$996.84 ,England,2,1902,2011
"$4,750,000.00 ",House,6602,6,6,Wimbledon,London,0,$719.48 ,England,1,1879,2000
"$1,175,000.00 ",House,1909,4,4,Putney,London,0,$615.51 ,England,5,1963,2000
"$695,000.00 ",House,1337,3,3,Loughton,Essex,0,$519.82 ,England,1,1906,2008
"$1,200,000.00 ",House,1771,4,4,,London,0,$677.58 ,England,4,1861,2002
"$1,700,000.00 ",House,2374,5,5,Wandsworth,London,0,$716.09 ,England,3,1855,2002
"$1,000,000.00 ",House,2125,2,2,131 Ladbroke Grove,London,0,$470.59 ,England,5,1911,2002
"$1,635,000.00 ",New development,903,2,2, City Of London,London,0,"$1,810.63 ",England,5,1872,2021
"$625,000.00 ",Apartment,902,2,2, Esher,Surrey,0,$692.90 ,England,4,1858,2021
"$1,850,000.00 ",House,3753,6,6,,London,0,$492.94 ,England,1,1853,2014
"$2,400,000.00 ",Apartment,1736,4,4, Bayswater,London,0,"$1,382.49 ",England,5,1958,2014
"$1,200,000.00 ",New development,590,1,1, South Bank,London,0,"$2,033.90 ",England,2,1917,2000
"$785,000.00 ",New development,1173,2,2, The Otto Buildings,Downs Road,0,$669.22 ,England,1,1864,2006
"$1,250,000.00 ",House,1298,2,2,,London,0,$963.02 ,England,4,1854,2022
"$2,300,000.00 ",House,1912,3,3, Fulham,London,0,"$1,202.93 ",England,2,1931,2020
"$1,800,000.00 ",New development,3877,4,4, Esher,Surrey,0,$464.28 ,England,2,1966,2021
"$1,300,000.00 ",Apartment,1465,3,3,Woodstock Road,London,0,$887.37 ,England,1,1956,2007
"$1,750,000.00 ",House,1580,4,4,Fulham,London,0,"$1,107.59 ",England,2,1916,2000
"$1,495,000.00 ",House,2300,4,4,,London,0,$650.00 ,England,2,1904,2018
"$1,855,000.00 ",House,2917,5,5,Kingston upon Thames,Surrey,0,$635.93 ,England,4,1920,2003
"$1,625,000.00 ",House,1953,4,4,,London,0,$832.05 ,England,4,1931,2012
"$3,150,000.00 ",House,1449,3,3,,London,0,"$2,173.91 ",England,4,1957,2015
"$5,250,000.00 ",House,4745,7,7,Richmond,Surrey,0,"$1,106.43 ",England,5,1929,2018
"$6,000,000.00 ",House,4798,6,6,Richmond,Surrey,0,"$1,250.52 ",England,5,1862,2001
"$1,395,000.00 ",House,1902,5,5,Putney,London,0,$733.44 ,England,1,1870,2003
"$1,385,000.00 ",Apartment,2056,3,3, Putney,London,0,$673.64 ,England,3,1939,2015
"$800,000.00 ",Apartment,922,2,2,,London,0,$867.68 ,England,4,1952,2014
"$3,695,000.00 ",House,2316,4,4,St James's,London,0,"$1,595.42 ",England,5,1851,2005
"$2,200,000.00 ",Apartment,1195,2,2,,London,0,"$1,841.00 ",England,3,1935,2000
"$1,175,000.00 ",Apartment,687,2,2,,London,0,"$1,710.33 ",England,4,1859,2006
"$9,500,000.00 ",House,4815,5,5,,London,0,"$1,973.00 ",England,5,1908,2020
"$3,100,000.00 ",Apartment,2470,4,4,Holland Park,London,0,"$1,255.06 ",England,5,1884,2004
"$5,500,000.00 ",House,3674,4,4,Islington,London,0,"$1,497.01 ",England,2,1890,2005
"$925,000.00 ",Apartment,1012,3,3, Highbury,London,0,$914.03 ,England,1,1860,2017
"$550,000.00 ",Penthouse,414,1,1, Hackney,London,0,"$1,328.50 ",England,5,1944,2013
"$260,000.00 ",Studio,381,0,0,Hackney,London,0,$682.41 ,England,5,1914,2001
"$550,000.00 ",Apartment,547,1,1,Hertford Road,London,0,"$1,005.48 ",England,4,1891,2000
"$2,400,000.00 ",House,2202,5,5,Hampstead,London,0,"$1,089.92 ",England,3,1855,2010
"$580,000.00 ",New development,460,1,1, Wandsworth,London,0,"$1,260.87 ",England,5,1858,2004
"$2,300,000.00 ",House,2785,5,5,Fulham,London,0,$825.85 ,England,1,1857,2017
"$1,200,000.00 ",House,1270,3,3,,London,0,$944.88 ,England,4,1873,2000
"$1,500,000.00 ",House,1934,5,5,,London,0,$775.59 ,England,2,1896,2006
"$2,250,000.00 ",House,2605,5,5,,London,0,$863.72 ,England,2,1947,2017
"$1,500,000.00 ",House,2047,4,4,,London,0,$732.78 ,England,5,1897,2002
"$2,150,000.00 ",House,2850,5,5,,London,0,$754.39 ,England,5,1871,2020
"$1,595,000.00 ",House,2555,6,6,,London,0,$624.27 ,England,2,1907,2002
"$1,565,000.00 ",House,2088,5,5,,London,0,$749.52 ,England,4,1868,2022
"$1,500,000.00 ",House,2173,5,5,,London,0,$690.29 ,England,2,1929,2009
"$400,000.00 ",Apartment,774,2,2,20 Love Lane,London,0,$516.80 ,England,5,1956,2005
"$415,000.00 ",Apartment,525,1,1, Canary Wharf,London,0,$790.48 ,England,5,1907,2009
"$1,395,000.00 ",Penthouse,1230,2,2,2 Dallington Street,London,0,"$1,134.15 ",England,3,1857,2020
"$2,800,000.00 ",House,2734,6,6, Chiswick,London,0,"$1,024.14 ",England,1,1930,2010
"$1,195,000.00 ",Apartment,872,2,2,Chelsea,London,0,"$1,370.41 ",England,4,1940,2022
"$2,750,000.00 ",Apartment,1839,4,4,Drayton Gardens,London,0,"$1,495.38 ",England,4,1886,2014
"$6,950,000.00 ",House,5501,6,6,Hammersmith,London,0,"$1,263.41 ",England,1,1933,2021
"$2,750,000.00 ",House,2675,4,4,Battersea,London,0,"$1,028.04 ",England,1,1966,2016
"$525,000.00 ",Apartment,514,2,2,Wimbledon,London,0,"$1,021.40 ",England,1,1943,2007
"$5,450,000.00 ",Apartment,1920,3,3,,London,0,"$2,838.54 ",England,5,1872,2012
"$2,325,000.00 ",New development,2392,4,4,,Thurleigh Road,0,$971.99 ,England,3,1863,2004
"$3,750,000.00 ",House,3256,3,3,Marylebone,London,0,"$1,151.72 ",England,3,1977,2013
"$1,750,000.00 ",Apartment,714,2,2,,London,0,"$2,450.98 ",England,1,1852,2018
"$750,000.00 ",Apartment,604,1,1, Chelsea,London,0,"$1,241.72 ",England,3,1945,2019
"$3,150,000.00 ",Apartment,1755,4,4,,London,0,"$1,794.87 ",England,1,1941,2020
"$1,150,000.00 ",House,2357,4,4, Esher,Surrey,0,$487.91 ,England,4,1973,2017
"$575,000.00 ",Apartment,800,2,2,,London,0,$718.75 ,England,2,1894,2000
"$1,250,000.00 ",House,2475,6,6,,London,0,$505.05 ,England,3,1855,2002
"$1,150,000.00 ",House,1703,4,4,,London,0,$675.28 ,England,2,1886,2021
"$650,000.00 ",Apartment,584,1,1, Clerkenwell,London,0,"$1,113.01 ",England,3,1893,2012
"$1,295,000.00 ",House,1356,4,4,Chiswick,London,0,$955.01 ,England,5,1902,2013
"$765,000.00 ",Apartment,1362,3,3, Fulham,London,0,$561.67 ,England,2,1904,2022
"$1,100,000.00 ",House,1420,3,3,Barnes,London,0,$774.65 ,England,4,1869,2017
"$2,350,000.00 ",House,2153,4,4,Barnes,London,0,"$1,091.50 ",England,4,1977,2016
"$965,000.00 ",House,1222,4,4,Tooting Bec,London,0,$789.69 ,England,1,1888,2020
"$1,750,000.00 ",Apartment,732,1,1, Holland Park,London,0,"$2,390.71 ",England,1,1860,2006
"$800,000.00 ",New development,1119,2,2, Clapton,E5 8DE,0,$714.92 ,England,1,1928,2003
"$1,050,000.00 ",House,2375,5,5, Walton-on-Thames,Surrey,0,$442.11 ,England,2,1938,2005
"$475,000.00 ",Apartment,525,1,1,105 Maida Vale,London,0,$904.76 ,England,4,1893,2019
"$752,500.00 ",New development,874,2,2,131-143 Belsize Road,London,0,$860.98 ,England,1,1920,2008
"$1,399,950.00 ",House,1748,4,4,,De Beauvoir,0,$800.89 ,England,2,1851,2013
"$2,795,000.00 ",House,6061,7,7,Esher,Surrey,0,$461.15 ,England,1,1870,2021
"$1,750,000.00 ",New development,3913,4,4, Esher,Surrey,0,$447.23 ,England,5,1852,2002
"$2,995,000.00 ",House,3406,5,5,Between The Commons,London,0,$879.33 ,England,4,1929,2013
"$1,825,000.00 ",House,2500,5,5,,London,0,$730.00 ,England,5,1927,2019
"$550,000.00 ",Apartment,609,2,2,137-139 Queenstown Road,London,0,$903.12 ,England,4,1908,2015
"$1,850,000.00 ",House,2516,5,5,,London,0,$735.29 ,England,4,1952,2016
"$625,000.00 ",Apartment,428,1,1, Westminster,London,0,"$1,460.28 ",England,2,1947,2008
"$2,290,000.00 ",Apartment,1604,2,2,St. James's,London,0,"$1,427.68 ",England,1,1877,2006
"$3,450,000.00 ",House,1820,5,5,Chelsea,London,0,"$1,895.60 ",England,4,1936,2007
"$995,000.00 ",Apartment,710,2,2,Primrose Hill,London,0,"$1,401.41 ",England,2,1864,2000
"$450,000.00 ",New development,538,1,1, Holloway,London,0,$836.43 ,England,3,1860,2002
"$850,000.00 ",Apartment,935,2,2,Chiswick,London,0,$909.09 ,England,4,1852,2008
"$975,000.00 ",Apartment,950,2,2, Maida Vale,London,0,"$1,026.32 ",England,2,1917,2001
"$1,850,000.00 ",Apartment,924,3,3,,London,0,"$2,002.16 ",England,5,1890,2001
"$940,000.00 ",House,1074,3,3,Hackney,London,0,$875.23 ,England,2,1852,2008
"$1,595,000.00 ",House,3261,5,5,Surbiton,Surrey,0,$489.11 ,England,4,1936,2001
"$1,275,000.00 ",House,1779,4,4,,London,0,$716.69 ,England,3,1888,2011
"$1,325,000.00 ",House,1541,4,4,,London,0,$859.83 ,England,4,1884,2010
"$850,000.00 ",House,1687,4,4,Oxhey,Hertfordshire,0,$503.85 ,England,2,1910,2023
"$865,000.00 ",Apartment,880,2,2,,London,0,$982.95 ,England,5,1938,2023
"$650,000.00 ",Apartment,859,2,2,,London,0,$756.69 ,England,2,1939,2023
"$3,500,000.00 ",New development,1577,2,2,,London,0,"$2,219.40 ",England,1,1922,2007
"$1,695,000.00 ",House,1944,5,5,Highbury,London,0,$871.91 ,England,2,1883,2000
"$399,995.00 ",Apartment,472,1,1, Canary Wharf,London,0,$847.45 ,England,3,1883,2021
"$5,750,000.00 ",House,4682,6,6,Barnes,London,0,"$1,228.11 ",England,5,1864,2006
"$4,650,000.00 ",House,2865,4,4,Belgravia,London,0,"$1,623.04 ",England,3,1905,2005
"$1,650,000.00 ",House,4016,8,8, Radlett,Hertfordshire,0,$410.86 ,England,1,1868,2000
"$2,800,000.00 ",House,1448,3,3,,London,0,"$1,933.70 ",England,4,1949,2010
"$1,100,000.00 ",Apartment,1056,3,3,,London,0,"$1,041.67 ",England,4,1917,2004
"$2,650,000.00 ",Apartment,1811,3,3, Parr's Way,London,0,"$1,463.28 ",England,1,1937,2005
"$1,575,000.00 ",House,2550,5,5,,London,0,$617.65 ,England,4,1925,2016
"$525,000.00 ",Apartment,775,1,1,142 Battersea Park Road,London,0,$677.42 ,England,4,1921,2018
"$1,650,000.00 ",Apartment,1099,2,2,Westminster,London,0,"$1,501.36 ",England,1,1895,2013
"$850,000.00 ",Apartment,726,2,2,Albany Street,London,0,"$1,170.80 ",England,5,1909,2016
"$2,700,000.00 ",House,1791,3,3,Notting Hill,London,0,"$1,507.54 ",England,4,1881,2004
"$695,000.00 ",House,795,2,2,Wimbledon,London,0,$874.21 ,England,3,1917,2000
"$1,400,000.00 ",House,1799,4,4,London,Wandsworth,0,$778.21 ,England,5,1955,2003
"$2,050,000.00 ",House,1293,3,3,St John's Wood,London,0,"$1,585.46 ",England,5,1964,2017
"$615,000.00 ",Apartment,972,2,2,Whitechapel,London,0,$632.72 ,England,2,1909,2008
"$1,000,000.00 ",Apartment,1777,3,3, Putney,London,0,$562.75 ,England,5,1903,2009
"$315,000.00 ",Apartment,526,1,1,,London,0,$598.86 ,England,4,1870,2009
"$1,850,000.00 ",New development,1328,3,3,2 Gatliff Road,London,0,"$1,393.07 ",England,3,1963,2003
"$2,895,000.00 ",House,1289,3,3,,London,0,"$2,245.93 ",England,2,1962,2015
"$450,000.00 ",Apartment,459,1,1,Bingham Court,London,0,$980.39 ,England,3,1955,2006
"$500,000.00 ",House,963,2,2,Surbiton,Surrey,0,$519.21 ,England,3,1896,2013
"$675,000.00 ",Apartment,949,2,2,,London,0,$711.28 ,England,2,1918,2009
"$650,000.00 ",Apartment,583,1,1,Peartree Street,Clerkenwell,0,"$1,114.92 ",England,4,1876,2020
"$1,395,000.00 ",House,1068,1,1,Chiswick,London,0,"$1,306.18 ",England,3,1933,2000
"$2,395,000.00 ",House,4966,5,5, Oxshott,Surrey,0,$482.28 ,England,4,1853,2013
"$725,000.00 ",Apartment,858,3,3,42 Trinity Church Road,London,0,$844.99 ,England,2,1964,2022
"$2,000,000.00 ",House,2525,4,4,Barnes,London,0,$792.08 ,England,3,1886,2011
"$625,000.00 ",Apartment,664,2,2,,London,0,$941.27 ,England,1,1955,2010
"$1,350,000.00 ",House,1328,3,3,Brackenbury Village,London,0,"$1,016.57 ",England,2,1890,2014
"$2,100,000.00 ",House,2191,4,4,Battersea,London,0,$958.47 ,England,2,1968,2007
"$3,650,000.00 ",House,8034,6,6,Esher,Surrey,0,$454.32 ,England,5,1903,2001
"$1,850,000.00 ",House,1892,4,4,,London,0,$977.80 ,England,2,1891,2002
"$1,500,000.00 ",Apartment,1132,3,3,Albert Bridge Road,London,0,"$1,325.09 ",England,5,1905,2013
"$3,625,000.00 ",House,2190,4,4,Primrose Hill,London,0,"$1,655.25 ",England,5,1877,2016
"$1,500,000.00 ",Apartment,1274,2,2,Mill Street,London,0,"$1,177.39 ",England,2,1893,2000
"$525,000.00 ",Apartment,630,2,2,Barnes,London,0,$833.33 ,England,2,1889,2019
"$290,000.00 ",Apartment,455,1,1,Banbury Road,London,0,$637.36 ,England,5,1877,2007
"$1,725,000.00 ",House,2931,5,5,Putney,London,0,$588.54 ,England,3,1975,2016
"$1,395,000.00 ",House,1510,3,3,Islington,London,0,$923.84 ,England,5,1976,2019
"$400,000.00 ",Apartment,705,2,2,George Beard Road,Deptford,0,$567.38 ,England,1,1952,2011
"$3,350,000.00 ",House,1504,3,3,,London,0,"$2,227.39 ",England,1,1948,2020
"$1,795,000.00 ",House,2067,4,4, Putney,London,0,$868.41 ,England,2,1874,2019
"$600,000.00 ",Apartment,1160,2,2, Northwood,Middlesex,0,$517.24 ,England,3,1886,2000
"$1,500,000.00 ",House,1997,4,4,Ealing,London,0,$751.13 ,England,1,1939,2019
"$1,600,000.00 ",House,2149,4,4,Wandsworth,London,0,$744.53 ,England,1,1883,2017
"$1,550,000.00 ",House,3620,7,7,,London,0,$428.18 ,England,4,1967,2008
"$1,325,000.00 ",Apartment,1195,3,3, Westminster,London,0,"$1,108.79 ",England,1,1921,2004
"$1,395,000.00 ",House,1587,3,3,Camden,London,0,$879.02 ,England,2,1913,2000
"$735,000.00 ",Apartment,849,2,2,,London,0,$865.72 ,England,3,1949,2007
"$825,000.00 ",House,2094,4,4,Thames Ditton,Surrey,0,$393.98 ,England,2,1944,2020
"$1,500,000.00 ",Apartment,2550,3,3,,London,0,$588.24 ,England,5,1855,2001
"$679,000.00 ",Apartment,832,2,2, Canary Wharf,London,0,$816.11 ,England,2,1952,2013
"$1,500,000.00 ",Apartment,1244,3,3,Park Walk,London,0,"$1,205.79 ",England,4,1908,2003
"$1,000,000.00 ",New development,1501,3,3,Northwood,Middlesex,0,$666.22 ,England,5,1902,2012
"$4,995,000.00 ",House,3035,4,4,Little Venice,London,0,"$1,645.80 ",England,3,1935,2017
"$1,350,000.00 ",House,1604,4,4,Putney,London,0,$841.65 ,England,2,1877,2005
"$625,000.00 ",New development,723,2,2,,London,0,$864.45 ,England,2,1884,2022
"$600,000.00 ",Apartment,660,2,2,Hackney,London,0,$909.09 ,England,2,1890,2012
"$875,000.00 ",Apartment,627,1,1,28 Wapping High Street,London,0,"$1,395.53 ",England,3,1933,2008
"$565,000.00 ",Apartment,872,2,2,Canary Wharf,London,0,$647.94 ,England,1,1877,2013
"$5,850,000.00 ",House,3128,5,5,,London,0,"$1,870.20 ",England,4,1956,2014
"$1,250,000.00 ",Apartment,1201,2,2,48 Rigault Road,London,0,"$1,040.80 ",England,1,1896,2005
