Price,Bedrooms,Bathrooms,SQFT,Price_per_SQFT,House Type,Condition,Built,Remodeled,Suburb,City,Zip Code,Country
"$449,250.00 ",4,2,1480,$303.55 ,House,5,1928,1970,None,Seattle,98133,USA
"$329,950.00 ",2,1,1140,$289.43 ,House,4,1949,1985,None,Seattle,98133,USA
"$245,000.00 ",3,2,1920,$127.60 ,House,3,1984,0,None,Auburn,98001,USA
"$549,000.00 ",4,3,2910,$188.66 ,House,3,2008,0,None,Renton,98059,USA
"$800,000.00 ",3,3,3240,$246.91 ,House,3,1994,0,None,Sammamish,98075,USA
"$249,950.00 ",3,2,1550,$161.26 ,House,4,1958,1972,None,Renton,98059,USA
"$210,000.00 ",5,2,2050,$102.44 ,House,3,1956,2001,None,Des Moines,98198,USA
"$1,425,000.00 ",2,3,2220,$641.89 ,House,3,2000,0,None,Seattle,98112,USA
"$585,000.00 ",2,1,1770,$330.51 ,House,3,1949,1998,None,Seattle,98117,USA
"$615,000.00 ",4,2,2300,$267.39 ,House,4,1977,0,None,Redmond,98052,USA
"$618,500.00 ",3,2,1800,$343.61 ,House,4,1942,1982,None,Seattle,98115,USA
"$487,585.00 ",4,2,2010,$242.58 ,House,3,1977,2004,None,Kirkland,98034,USA
"$509,900.00 ",3,3,1790,$284.86 ,House,3,2010,0,None,Issaquah,98027,USA
"$631,625.00 ",4,3,2440,$258.86 ,House,3,2014,0,None,Seattle,98117,USA
"$555,000.00 ",3,3,1940,$286.08 ,House,3,2009,0,None,Issaquah,98027,USA
"$340,000.00 ",2,2,1160,$293.10 ,House,3,2001,0,None,Seattle,98144,USA
"$830,000.00 ",4,3,3400,$244.12 ,House,3,2007,0,None,Redmond,98052,USA
"$890,000.00 ",4,4,4420,$201.36 ,House,3,2006,0,None,Issaquah,98027,USA
"$366,750.00 ",3,3,1571,$233.45 ,House,3,2008,0,None,Seattle,98125,USA
"$415,000.00 ",3,2,1620,$256.17 ,House,3,2010,0,None,Issaquah,98029,USA
"$416,286.00 ",3,3,1408,$295.66 ,House,3,2005,0,None,Seattle,98115,USA
"$478,000.00 ",3,3,3040,$157.24 ,House,3,2007,0,None,Renton,98056,USA
"$890,000.00 ",5,4,4490,$198.22 ,House,3,2006,0,None,Issaquah,98027,USA
"$419,190.00 ",2,3,1590,$263.64 ,House,3,2014,0,None,Issaquah,98029,USA
"$712,198.00 ",4,3,2450,$290.69 ,House,3,2013,1923,None,Redmond,98052,USA
"$397,000.00 ",4,2,1440,$275.69 ,House,3,1971,0,None,Kirkland,98034,USA
"$450,000.00 ",2,2,1100,$409.09 ,House,3,1912,2005,None,Seattle,98117,USA
"$353,000.00 ",3,1,1350,$261.48 ,House,4,1947,1988,None,Seattle,98125,USA
"$609,000.00 ",4,3,2150,$283.26 ,House,3,1985,0,None,Redmond,98052,USA
"$234,000.00 ",3,2,1490,$157.05 ,House,4,1975,0,None,Covington,98042,USA
"$561,000.00 ",3,2,2000,$280.50 ,House,3,1916,1986,None,Seattle,98136,USA
"$469,000.00 ",2,1,1030,$455.34 ,House,3,1924,2011,None,Seattle,98117,USA
"$329,350.00 ",2,1,720,$457.43 ,House,3,1942,1999,None,Seattle,98117,USA
"$488,000.00 ",5,2,2020,$241.58 ,House,4,1938,0,None,Seattle,98117,USA
"$279,900.00 ",3,2,1580,$177.15 ,House,4,1962,0,None,Des Moines,98198,USA
"$606,000.00 ",4,3,2110,$287.20 ,House,3,1987,2000,None,Issaquah,98027,USA
"$312,000.00 ",4,2,1300,$240.00 ,House,3,1950,2013,None,Seattle,98146,USA
"$650,000.00 ",3,2,1630,$398.77 ,House,3,1940,1996,None,Seattle,98115,USA
"$1,135,000.00 ",4,3,3370,$336.80 ,House,3,1970,2014,None,Seattle,98136,USA
"$325,000.00 ",4,3,1890,$171.96 ,House,3,1980,0,None,Seattle,98106,USA
"$425,000.00 ",4,2,1520,$279.61 ,House,5,1967,0,None,Inglewood-Finn Hill,98034,USA
"$219,000.00 ",2,1,900,$243.33 ,House,3,1952,2008,None,Seattle,98106,USA
"$250,000.00 ",3,1,1050,$238.10 ,House,3,1954,2005,None,Shoreline,98133,USA
"$390,000.00 ",3,2,1260,$309.52 ,House,4,1966,0,None,Bellevue,98008,USA
"$475,000.00 ",6,3,3470,$136.89 ,House,3,1924,2011,None,Kenmore,98028,USA
"$736,000.00 ",4,3,2290,$321.40 ,House,4,1988,0,None,Bellevue,98006,USA
"$407,000.00 ",4,2,2810,$144.84 ,House,3,1958,2004,None,Des Moines,98198,USA
"$272,000.00 ",3,3,1650,$164.85 ,House,3,1998,2006,None,Carnation,98014,USA
"$362,000.00 ",3,2,1640,$220.73 ,House,4,1963,0,None,Burien,98148,USA
"$535,000.00 ",3,3,1850,$289.19 ,House,3,1991,0,None,Kirkland,98034,USA
"$284,000.00 ",4,3,2000,$142.00 ,House,3,2003,0,None,Kent,98042,USA
"$367,500.00 ",3,2,1410,$260.64 ,House,3,1961,2004,None,Shoreline,98177,USA
"$379,900.00 ",4,2,1500,$253.27 ,House,4,1955,2009,None,Kenmore,98028,USA
"$520,000.00 ",3,3,2460,$211.38 ,House,4,1980,0,None,Renton,98059,USA
"$175,000.00 ",3,1,1010,$173.27 ,House,3,1954,2005,None,Renton,98057,USA
"$460,000.00 ",2,2,1230,$373.98 ,House,3,2004,2003,None,Seattle,98112,USA
"$345,000.00 ",4,3,2331,$148.01 ,House,3,2007,0,None,Renton,98058,USA
"$455,000.00 ",5,3,2240,$203.13 ,House,3,1978,0,None,Kirkland,98034,USA
"$610,000.00 ",4,3,2450,$248.98 ,House,5,1967,0,None,Bellevue,98006,USA
"$563,000.00 ",4,3,3100,$181.61 ,House,3,1996,0,None,Kenmore,98028,USA
"$612,500.00 ",4,2,2060,$297.33 ,House,3,1949,2013,None,Seattle,98117,USA
"$218,000.00 ",3,2,1850,$117.84 ,House,3,1979,2014,None,Federal Way,98023,USA
"$404,000.00 ",4,2,1840,$219.57 ,House,3,1958,2004,None,Bellevue,98008,USA
"$860,000.00 ",4,2,3740,$229.95 ,House,3,2000,0,None,Redmond,98053,USA
"$136,500.00 ",3,2,1420,$96.13 ,House,3,1962,2003,None,Federal Way,98023,USA
"$313,950.00 ",3,1,1510,$207.91 ,House,4,1940,2001,None,Seattle,98115,USA
"$575,000.00 ",3,2,2130,$269.95 ,House,3,1954,2005,None,Seattle,98199,USA
"$1,225,000.00 ",4,2,3490,$351.00 ,House,4,1928,0,None,Seattle,98199,USA
"$280,000.00 ",3,2,1630,$171.78 ,House,4,1971,0,None,North Bend,98045,USA
"$515,000.00 ",3,3,1790,$287.71 ,House,3,1989,0,None,Sammamish,98074,USA
"$513,000.00 ",4,3,2000,$256.50 ,House,3,1996,0,None,Kenmore,98028,USA
"$599,000.00 ",4,2,2260,$265.04 ,House,4,1977,0,None,Bellevue,98006,USA
"$685,000.00 ",4,3,3030,$226.07 ,House,3,1999,0,None,Sammamish,98074,USA
"$365,000.00 ",3,2,1310,$278.63 ,House,3,1950,2005,None,Seattle,98133,USA
"$762,300.00 ",4,3,3880,$196.47 ,House,3,1987,2000,None,Sammamish,98074,USA
"$1,580,000.00 ",4,3,3760,$420.21 ,House,5,1950,0,None,Seattle,98105,USA
"$562,000.00 ",5,2,3040,$184.87 ,House,3,1984,0,None,Redmond,98052,USA
"$530,000.00 ",5,3,2910,$182.13 ,House,4,1964,0,None,Bellevue,98008,USA
"$525,000.00 ",3,3,2970,$176.77 ,House,3,1995,0,None,Sammamish,98074,USA
"$484,000.00 ",2,2,1660,$291.57 ,House,3,1942,1999,None,Seattle,98105,USA
"$725,126.00 ",4,3,3200,$226.60 ,House,3,1998,2006,None,Newcastle,98059,USA
"$360,000.00 ",4,2,2680,$134.33 ,House,5,1965,0,None,Auburn,98001,USA
"$387,000.00 ",3,1,1230,$314.63 ,House,5,1962,0,None,Newcastle,98056,USA
"$483,500.00 ",4,3,2740,$176.46 ,House,3,1995,0,None,Woodinville,98077,USA
"$655,500.00 ",4,4,3380,$193.93 ,House,3,2000,0,None,Shoreline,98177,USA
"$345,000.00 ",3,1,1110,$310.81 ,House,3,1956,2001,None,Seattle,98115,USA
"$533,000.00 ",5,3,1800,$296.11 ,House,3,1926,2003,None,Seattle,98103,USA
"$385,000.00 ",3,2,1900,$202.63 ,House,3,1982,0,None,Seattle,98118,USA
"$675,000.00 ",2,1,930,$725.81 ,House,3,1951,1994,None,Bellevue,98006,USA
"$197,000.00 ",3,2,1690,$116.57 ,House,4,1976,1992,None,Auburn,98001,USA
"$485,000.00 ",3,2,1420,$341.55 ,House,3,1905,2013,None,Seattle,98103,USA
"$1,870,000.00 ",5,4,4510,$414.63 ,House,3,1969,2002,None,Mercer Island,98040,USA
"$295,000.00 ",3,2,1980,$148.99 ,House,4,1974,0,None,Federal Way,98023,USA
"$499,000.00 ",2,2,1170,$426.50 ,House,4,1903,0,None,Seattle,98103,USA
"$1,050,000.00 ",3,3,2200,$477.27 ,House,3,2008,0,None,Seattle,98102,USA
"$191,000.00 ",3,2,800,$238.75 ,House,4,1959,0,None,Federal Way,98023,USA
"$500,000.00 ",3,3,1480,$337.84 ,House,3,2006,0,None,Seattle,98112,USA
"$390,000.00 ",5,4,2890,$134.95 ,House,3,2006,0,None,Seattle,98144,USA
"$979,000.00 ",3,3,2690,$363.94 ,House,3,2014,0,None,Seattle,98117,USA
"$580,000.00 ",4,3,3569,$162.51 ,House,3,2013,1923,None,Renton,98055,USA
"$369,950.00 ",3,2,1270,$291.30 ,House,3,2006,0,None,Seattle,98103,USA
"$1,800,000.00 ",5,5,4490,$400.89 ,House,3,2013,1923,None,Bellevue,98004,USA
"$776,000.00 ",4,3,3040,$255.26 ,House,3,2008,0,None,Redmond,98052,USA
"$519,950.00 ",3,2,1170,$444.40 ,House,3,2014,0,None,Seattle,98107,USA
"$255,000.00 ",5,2,2060,$123.79 ,House,3,1962,2003,None,Burien,98146,USA
"$495,000.00 ",3,1,990,$500.00 ,House,3,1943,2002,None,Seattle,98105,USA
"$510,000.00 ",4,3,2430,$209.88 ,House,3,2003,0,None,Shoreline,98155,USA
"$1,150,000.00 ",4,4,4460,$257.85 ,House,3,2001,0,None,Redmond,98053,USA
"$253,000.00 ",3,2,1250,$202.40 ,House,3,1994,0,None,Black Diamond,98010,USA
"$503,000.00 ",3,3,1540,$326.62 ,House,5,1980,0,None,Kirkland,98034,USA
"$275,000.00 ",3,3,1600,$171.88 ,House,4,1993,0,None,Maple Valley,98038,USA
"$249,000.00 ",3,1,1110,$224.32 ,House,3,1952,2008,None,Burien,98166,USA
"$310,000.00 ",3,2,1840,$168.48 ,House,4,1974,0,None,Renton,98058,USA
"$750,000.00 ",3,3,2520,$297.62 ,House,4,1946,1989,None,Seattle,98119,USA
"$630,000.00 ",3,3,2680,$235.07 ,House,3,1995,0,None,Ravensdale,98051,USA
"$599,999.00 ",9,5,3830,$156.66 ,House,3,1938,2003,None,Seattle,98103,USA
"$758,000.00 ",4,3,2410,$314.52 ,House,4,1956,0,None,Kirkland,98033,USA
"$248,500.00 ",4,2,1720,$144.48 ,House,5,1960,0,None,Covington,98042,USA
"$310,000.00 ",3,2,2070,$149.76 ,House,4,1973,0,None,Kent,98031,USA
"$460,000.00 ",3,2,1760,$261.36 ,House,4,1985,0,None,Redmond,98052,USA
"$675,000.00 ",3,2,1680,$401.79 ,House,4,1959,0,None,Bellevue,98005,USA
"$526,000.00 ",2,2,1550,$339.35 ,House,4,1900,1971,None,Seattle,98103,USA
"$560,000.00 ",3,3,4120,$135.92 ,House,3,1994,0,None,Carnation,98014,USA
"$415,000.00 ",4,3,1830,$226.78 ,House,3,1991,0,None,Bothell,98028,USA
"$246,000.00 ",3,1,1400,$175.71 ,House,3,1944,0,None,Burien,98166,USA
"$314,500.00 ",3,2,1870,$168.18 ,House,4,1957,2001,None,Federal Way,98003,USA
"$3,200,000.00 ",7,5,6210,$515.30 ,House,5,1910,0,None,Seattle,98109,USA
"$420,000.00 ",2,2,1040,$403.85 ,House,4,1904,0,None,Seattle,98144,USA
"$535,000.00 ",3,2,2720,$196.69 ,House,3,1988,2000,None,Carnation,98014,USA
"$350,000.00 ",3,1,1010,$346.53 ,House,3,1981,2013,None,Kirkland,98033,USA
"$515,000.00 ",3,2,1580,$325.95 ,House,4,1967,0,None,Bellevue,98008,USA
"$749,950.00 ",4,3,2600,$288.44 ,House,5,1949,0,None,Seattle,98116,USA
"$230,000.00 ",3,3,1920,$119.79 ,House,3,1988,2000,None,Renton,98057,USA
"$568,000.00 ",3,2,2350,$241.70 ,House,3,1929,0,None,Seattle,98118,USA
"$250,000.00 ",1,1,1100,$227.27 ,House,2,1947,0,None,Burien,98166,USA
"$581,000.00 ",4,2,2510,$231.47 ,House,4,1961,2001,None,Kirkland,98033,USA
"$651,000.00 ",3,3,3240,$200.93 ,House,4,1991,0,None,Kent,98042,USA
"$600,000.00 ",3,3,2460,$243.90 ,House,4,1977,0,None,Issaquah,98027,USA
"$500,000.00 ",2,1,1010,$495.05 ,House,4,1906,1990,None,Seattle,98112,USA
"$475,000.00 ",2,1,820,$579.27 ,House,3,1921,2000,None,Seattle,98103,USA
"$352,000.00 ",5,3,2420,$145.45 ,House,3,1978,0,None,Seattle,98118,USA
"$420,000.00 ",3,2,1770,$237.29 ,House,3,1977,2004,None,Kirkland,98034,USA
"$428,000.00 ",2,2,1350,$317.04 ,House,3,2003,0,None,Redmond,98053,USA
"$599,000.00 ",3,2,1960,$305.61 ,House,4,1920,0,None,Seattle,98115,USA
"$492,000.00 ",4,3,3305,$148.87 ,House,5,1922,1956,None,Shoreline,98133,USA
"$630,000.00 ",2,2,2550,$247.06 ,House,3,2011,0,None,Renton,98056,USA
"$900,000.00 ",5,4,4130,$217.92 ,House,3,1985,0,None,Woodinville,98077,USA
"$1,110,000.00 ",4,2,2310,$480.52 ,House,3,1950,2005,None,Clyde Hill,98004,USA
"$575,000.00 ",4,2,1650,$348.48 ,House,3,1955,2005,None,Seattle,98117,USA
"$705,000.00 ",4,3,2650,$266.04 ,House,3,1905,2013,None,Seattle,98116,USA
"$940,000.00 ",4,2,1890,$497.35 ,House,3,1963,2008,None,Seattle,98112,USA
"$313,000.00 ",3,2,2190,$142.92 ,House,4,1967,0,None,Federal Way,98023,USA
"$618,080.00 ",3,3,2030,$304.47 ,House,3,1988,2000,None,Issaquah,98027,USA
"$640,000.00 ",3,3,2270,$281.94 ,House,3,2002,0,None,Renton,98056,USA
"$485,000.00 ",3,2,1610,$301.24 ,House,4,1917,0,None,Seattle,98136,USA
"$300,000.00 ",2,1,760,$394.74 ,House,3,1913,1983,None,Seattle,98144,USA
"$379,500.00 ",2,1,1640,$231.40 ,House,3,1978,0,None,Redmond,98053,USA
"$339,950.00 ",3,2,1630,$208.56 ,House,4,1985,0,None,Renton,98058,USA
"$1,500,000.00 ",6,3,3560,$421.35 ,House,4,1914,1945,None,Seattle,98112,USA
"$1,340,000.00 ",3,3,2960,$452.70 ,House,3,1937,1990,None,Seattle,98199,USA
"$500,000.00 ",3,3,1940,$257.73 ,House,4,1987,0,None,Issaquah,98027,USA
"$239,900.00 ",3,2,1410,$170.14 ,House,3,1985,0,None,Kent,98030,USA
"$314,950.00 ",3,1,1040,$302.84 ,House,4,1968,0,None,Renton,98059,USA
"$361,280.00 ",2,1,820,$440.59 ,House,4,1944,0,None,Seattle,98126,USA
"$100,000.00 ",2,1,910,$109.89 ,House,3,1956,2001,None,Algona,98001,USA
"$540,000.00 ",7,6,3700,$145.95 ,House,3,1948,1984,None,Lake Forest Park,98155,USA
"$480,500.00 ",4,3,2180,$220.41 ,House,4,1968,0,None,Woodinville,98072,USA
"$280,000.00 ",3,3,1600,$175.00 ,House,3,2000,0,None,Auburn,98001,USA
"$440,000.00 ",3,2,1500,$293.33 ,House,4,1947,1988,None,Seattle,98118,USA
